#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
Keck/LRIS.NB4000	3991.7	4001.9	3601	4235	336.6	3737.5	Keck	LRIS	Keck LRIS NB4000 filter
HST/WFPC2-WF.FQUVN_D	3992.4	3996.0	3927	4061	80.1	3890.5	HST	WFPC2	FQUVN quad filter (D position) for HST WFPC2 wide field camera
CTIO/CTIO.3986-1047	4002.4	4070.9	3226	4939	998.7	3179.1	CTIO	 	CTIO 3986/1047
Swift/UVOT.white	4003.8	3885.7	1597	7820	3548.1	2268.1	Swift	UVOT	UVOT white filter effective area
OAJ/JPAS.J0400	4007.7	4010.7	3915	4100	136.8	3631.0	OAJ	JPCam	JPAS J0400 filter
NOT/NOT.071	4007.8	4085.8	3121	5092	1184.9	3096.8	NOT	 	NOT filter 071, BG25-O 390_MP
CTIO/CTIO.3996-1042	4011.7	4078.1	3217	4945	997.2	3210.9	CTIO	 	CTIO 3996/1042
HST/WFPC2-WF.F380W	4013.2	4066.9	3240	4669	823.1	3357.3	HST	WFPC2	F380W filter for HST WFPC2 wide field camera (detector 4)
HST/WFPC2-PC.F380W	4013.7	4067.3	3240	4670	822.9	3359.0	HST	WFPC2	F380W filter for HST WFPC2 planetary camera (detector 1)
CTIO/CTIO.4000-1030	4013.8	4078.7	3223	4934	982.3	3224.1	CTIO	 	CTIO 4000/1030
NOT/NOT.133	4014.0	4015.1	3972	4061	59.5	4447.3	NOT	 	NOT filter 133, 401_7
CAHA/CAHA.402_9	4015.4	4018.2	3850	4098	83.4	4232.9	CAHA	 	CAHA 402.9
OSN/Gunn.v	4017.2	4025.8	3707	4347	381.9	3842.2	OSN	 	Gunn v filter, OSN #g01
Geneva/Geneva.B1	4022.8	4036.4	3604	4669	422.1	3699.4	 	 	Geneva B1
GCPD/Geneva.B1_ADPS	4022.8	4036.4	3604	4669	422.1	3699.4	 	 	Geneva B1 filter in GCPD (ADPS)
Special/Meteor.A1	4030.0	4030.0	3990	4070	80.1	4578.9	 	 	Meteor project A1 filter. Main components: MnI(2)+FeI(43)
LICK/LICK.4023_25	4030.8	4030.8	3992	4070	32.5	4654.3	LICK	 	LICK, 4023_25
GCPD/Geneva.B1	4031.0	4031.0	3626	4643	412.7	3618.4	 	 	Geneva B1 filter in GCPD (revised by Mann & von Braun 2014)
NOT/NOT.023	4032.6	4032.5	3983	4085	34.8	4634.4	NOT	 	NOT filter 023, [SII] 403_3
Generic/Johnson_13col.40	4033.8	4046.9	3380	4434	239.8	3868.3	 	 	Johnson 13 colors 40 filter
LICK/LICK.4000_400	4039.3	4044.6	3700	4399	336.8	3945.1	LICK	 	LICK, 4000_400
